YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1950,-3.01,5.38,6.52,8.90,11.84,16.57,18.52,18.58,15.27,10.48,7.37,8.01,1.03,9.09,17.89,11.04,9.76
1951,3.65,5.70,5.00,10.66,13.24,17.08,18.89,17.37,15.94,11.36,7.89,3.36,5.79,9.63,17.78,11.73,11.23
1952,3.35,5.70,6.62,10.04,13.12,14.50,18.35,18.12,16.00,13.26,5.92,6.22,4.14,9.93,16.99,11.73,10.70
1953,7.71,5.41,6.95,9.09,12.31,13.91,17.46,17.95,16.23,12.63,9.02,6.56,6.45,9.45,16.44,12.63,11.24
1954,3.11,6.52,5.68,8.01,12.64,13.98,16.09,16.37,15.31,10.80,9.90,5.31,5.40,8.78,15.48,12.00,10.41
1955,4.43,3.91,4.42,7.44,10.83,14.88,16.05,16.54,14.35,10.67,4.28,3.98,4.55,7.56,15.82,9.77,9.43
1956,4.32,2.47,5.34,10.22,14.22,14.27,18.56,17.63,14.83,10.14,6.35,5.00,3.59,9.93,16.82,10.44,10.19
1957,0.76,4.60,7.32,10.50,14.84,16.18,16.99,16.89,17.49,10.82,6.81,6.88,3.45,10.89,16.69,11.71,10.68
1958,6.86,9.03,7.09,9.97,16.20,18.15,20.85,19.60,15.85,12.56,6.78,7.54,7.59,11.09,19.53,11.73,12.49
1959,5.27,5.38,7.15,10.16,12.31,15.70,19.31,17.22,14.52,11.50,7.01,4.96,6.06,9.87,17.41,11.01,11.09
1960,4.19,5.47,6.76,9.95,11.87,15.67,19.67,17.14,14.82,11.85,7.33,4.52,4.87,9.53,17.49,11.33,10.81
1961,6.83,7.27,7.72,8.73,12.48,17.84,19.84,20.57,15.22,10.85,5.86,4.46,6.21,9.64,19.42,10.64,11.48
1962,3.92,6.52,6.66,10.35,10.73,15.86,17.90,17.07,15.71,11.80,8.41,6.08,4.97,9.25,16.94,11.97,10.78
1963,1.46,9.38,6.93,9.13,14.36,15.55,16.95,18.17,17.60,12.56,6.99,4.96,5.64,10.14,16.89,12.38,11.26
1964,4.50,5.27,6.82,8.33,11.87,14.49,17.60,17.08,14.82,12.03,5.68,2.53,4.91,9.01,16.39,10.84,10.29
